Designator,Footprint,Quantity,PartNo,Value,Price
"D1, D2, D3, D4",LEDGREEN,4,550-0207F,,
"D10_LV2, D10_LV4",DO-214AB,2,ES3B,,
"D5, D6",LEDYELLOW,2,550-0307F,,
D5V,SMB-403A,1,MBRS130LT3G,,
"D6_LV2, D6_LV4, D12_LV1, D12_LV3",SOD123F,4,BZT52H-B5V6,,
"D7_LV2, D7_LV4, D11_LV1, D11_LV3",PDS1040L,4,PDS760-13,,
"D8_LV2, D8_LV4",DO-214AC,2,SMAJ30A,,
"D9_LV1, D9_LV3",SOD-323,2,BAV20WS,,
DTVS,DO-214AA,1,SMBJ10CA,,
DTVS1,DO-214AA,1,SMBJ48A,,
"F1_LV1, F1_LV3, F2_LV2, F2_LV4, F3",MF-MSMF1,5,MINISMDC050F-2,,
ICSP1,2X05,1,2-1761605-3,,
J1,09 03 164 6919,1,0903 164 6921,,
LDO1,SOT223,1,NCP1117ST50T3G,,
LED1,LEDRED,1,550-0407F,,
LED2,CHIP-LED0805,1,KPT-2012SGC,,
"LT2_LV2, LT2_LV4",S8E,2,LT8302ES8E#PBF,,
"Q1_LV1, Q1_LV3",INF-PG-TDSON-8-1_V,2,BSC320N20NS3 G,,
"Q2_LV2, Q2_LV4, Q3_LV1, Q3_LV3",SOT-23_2,4,BSS131,,
"R9_LV1, R9_LV3",J1-0603,2,,0,
RESET1,1-1825027-4,1,1-1825027-4,,
"T1_LV1, T1_LV3",EFD20,2,750311597,,
"T2_LV2, T2_LV4",EP13,2,750311457,,
"U1, U2",SOICN8,2,ADM4855ARZ,,
"U2_LV2, U2_LV4, U5_LV1, U5_LV3",SOT-23,4,INA138NA/250,,
U3,100A_N,1,ATmega2560-16AU,,
"U4_LV1, U4_LV3",LT-MS-16-4PR_N,2,LT3748IMS#PBF,,
Y1,RESONATOR,1,CSTCE16M0V53-R0,,
"AC1, AC2, AC3, AC4, AC5, AC6, C2, C3, C8_LV2, C8_LV4, C28_LV1, C28_LV3",1608[0603],12,CC0603KRX7R9BB104,0.1uF,
RLED1,J1-0603,1,,1k,
AR2,J1-0603,1,,1M,
"R_L1, R_L2, R_L3, R_L4",J1-0603,4,,1R,
"C12_LV2, C12_LV4",1608[0603],2,06033D105KAT2A,1uF,
"C27_LV1, C27_LV3",C0805,2,MC0805F105Z500CT,1uF,
"C29_LV1, C29_LV3",C0805,2,,1uF,
"L1, L2, L3, L4",MPLC0730,4,MPLC0730L1R0,1uH,
"C22_LV1, C22_LV3",C1210,2,C1210C225K1RACTU,2.2uF,
"R_pu1, R_pu2",J1-0603,2,,4.7K,
"C30, C31, C32, C33",1812,4,C1812C472KDRACTU,4.7nF,
"R3_LV1, R3_LV3",J1-0603,2,,6.04K,
NTC,J1-0603,1,NCP18XH103J03RB,10K,
"R4_LV1, R4_LV3, R_NTC, R_pu5, Rref2_LV2, Rref2_LV4",J1-0603,6,,10K,
"R16_LV1, R16_LV3",C1206,2,LRMAM1206-R01FT5,10m,
"C11_LV2, C11_LV4",C1210,2,UMK325BJ106KM-T,10uF,
"R7_LV2, R7_LV4, R14_LV1, R14_LV3",J1-0603,4,,15k,
C1,PANASONIC_D,1,EMZA500ADA220MF61G,22uF,
"RADRS0, RADRS1, RADRS2, RADRS3",J1-0603,4,,47k,
"C20, C21",PANASONIC_D,2,EEE1EA470WAP,47uF,
"Rsense1_LV1, Rsense1_LV3, Rsense2_LV2, Rsense2_LV4",R6432,4,MCS3264R050FER,50m,
"R1, R2",J1-0603,2,,50R,
"R15_LV1, R15_LV3",J1-0603,2,,75k,
"R12_LV1, R12_LV3",J1-0603,2,,82k,
"R5_LV2, R5_LV4, R10_LV1, R10_LV3",J1-0603,4,,100k,
"R8_LV2, R8_LV4, R13_LV1, R13_LV3",C1206,4,,100R,
"C3_a_LV1, C3_a_LV3, C3_b_LV1, C3_b_LV3, C4, C8, C9_LV2, C9_LV4, C10_LV2, C10_LV4, C12, C16",C1210,12,C3225X5R0J107M250AC,100uF,
"C5, C6, C7, C9, C10, C11, C13, C14, C15, C17, C18, C19",C1210,12,CL32A107MPVNNNE,100uF,
"Rtc2_LV2, Rtc2_LV4",J1-0603,2,,169k,
"Rfb2_LV2, Rfb2_LV4",J1-0603,2,,200k,
"C13_LV2, C13_LV4",C0805,2,08055A221JAT2A,470p,
"C26_LV1, C26_LV3",0402,2,C1005C0G1H471J050BA,470p,
"R6_LV2, R6_LV4, R11_LV1, R11_LV3",J1-0603,4,,500k,
"R_LED1, R_LED2, R_LED3, R_LED4, R_LED5, R_LED6, RLED2",J1-0603,7,,500R,
"C23_LV1, C23_LV3",C0805,2,08055A221JAT2A,680pF,
"C24_LV1, C24_LV3",0402,2,,2000pF,
"C25_LV1, C25_LV3",0402,2,04025C472KAT2A,4700pF,
