Designator,Footprint,Quantity,PartNo,Value
C1,PANASONIC_D,1,EMZA500ADA220MF61G,22uF
"out1, out2",1X08,2,5-534237-4,
RESET1,B3S-1002,1,B3S-1002,
Y1,RESONATOR,1,CSTCE16M0V53-R0,
ICSP1,2X03,1,M20-9980345,
"PC1, PC2",PANASONIC_D,2,EEE1EA470WAP,47uF
J2,MOLEX_85505-5113,1,,
"LED1, LED2",CHIP-LED0805,2,KPT-2012SGC,
"U1, U2",SOT-23,2,INA138NA/250,
"LT1, LT2",S8E,2,LT8302ES8E#PBF,
U5,SOICN8,1,SP3084EEN-L,
P1,MC000044,1,64T3402,
U3,32A_N,1,ATmega328P-AU,
AU1,SOT223,1,LM2940IMP-5.0/NOPB,
"AC1, AC4, AC10, C7, C8, C35",1608[0603],6,CC0603KRX7R9BB104,0.1uF
"C21, C22, C23, C25, C26, C27",C1210,6,CL32A107MPVNNNE,100uF
"C3, C4, C9, C10, C20, C24",C1210,6,C3225X5R0J107M250AC,100uF
"C30, C31",1812,2,C1812C472KDRACTU,4.7nF
"C5, C12",1608[0603],2,,1uF
"Rsense1, Rsense2",R6432,2,MCS3264R050FER,50m
"T1, T2",EP13,2,750311457,
F2,MF-MSMF1,1,MF-MSMF075/24-2,
"F1, F3",MF-MSMF1,2,MINISMDC050F-2,
W1,HDR1X2,1,,
"L1, L2",MPLC0730,2,MPLC0730L1R0,1uH
"Q1, Q2",SOT-23,2,BSS131,
"D5, D10",DO-214AB,2,ES3B,
J1,DSUB1.385-2H9,1,1734354-1,
"NTC, RLED1, RLED2",J1-0603,3,,500R
"R51, R52",J1-0603,2,,50R
R_NTC,J1-0603,1,,500
"R_pu1, R_pu2, R_pu3",J1-0603,3,,4.7K
"R_pu4, Rref1, Rref2",J1-0603,3,,10k
"R2, R7",J1-0603,2,,79k
"R3, R8",C1206,2,,100R
"R4, R5",J1-0603,2,,100k
"R45, R46",J1-0603,2,,1R
Rfb1,J1-0603,1,,220k
Rfb2,J1-0603,1,,200k
"Rtc1, Rtc2",J1-0603,2,,169k
"AR2, R1, R6",J1-0603,3,,1M
"D2, D7",PDS1040L,2,PDS1040L-13,
"DTVS1, DTVS2, DTVS3",DO-214AA,3,SMBJ24A-E3/52,
"D3, D9",LED-0,2,,
"D1, D6",SOD123F,2,BZT52H-B5V6,
"D4, D8",DO-214AC,2,SMAJ30A,
"C2, C11",C1210,2,UMK325BJ106KM-T,10uF
"C6, C13",C0805,2,08055A221JAT2A,470p
